Title,Title_link,Thumbnail,brand-title,price-sup,comment-star__count,Price,brand-variants,Headline,Field1,Field2,Field3
Rich Cut Chili Chips 54g (New and old packaging randomly sent),https://www.yamibuy.com/en/p/koikeya-rich-cut-chili-chips-54g/1017000791?scene=item_search.result&bu_type=search&module_name=input&index=11&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KOIKEYA,Buy $150 get 1 free gift,199,,,Rich Cut Chili Chips 54g (New and old packaging randomly sent),200,Japan,4.6
MY POTE Potato Chips Onion Soup 60g,https://www.yamibuy.com/en/p/calbee-my-pote-potato-chips-onion-soup-60g/1017037531?scene=item_search.result&bu_type=search&module_name=input&index=12&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,Buy 3 get 1 free gift,40,$1.49,,MY POTE Potato Chips Onion Soup 60g,40,Japan,4.2
Potato Chips Sweet Spicy Flavor 50g,https://www.yamibuy.com/en/p/oishi-potato-chips-sweet-spicy-flavor-50g/1017020531?scene=item_search.result&bu_type=search&module_name=input&index=13&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OISHI,Buy $150 get 1 free gift,,,8 Options,Potato Chips Sweet Spicy Flavor 50g,65,China,4.7
Kkobug Chips Corn Soup Flavor 160g,https://www.yamibuy.com/en/p/orion-kkobug-chips-corn-soup-flavor-160g/1017019511?scene=item_search.result&bu_type=search&module_name=input&index=14&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ORION,Buy $150 get 1 free gift,,$4.39,4 Options,Kkobug Chips Corn Soup Flavor 160g,18,Korea,5
Potato Chips BBQ Flavor 47g,https://www.yamibuy.com/en/p/max-bbq-prik-zab-zeed-47g/1017044511?scene=item_search.result&bu_type=search&module_name=input&index=15&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,Buy $150 get 1 free gift,4,$1.99,,Potato Chips BBQ Flavor 47g,4,China,4.2
Mimi Crab Flavored Chips 10 Packs 180g,https://www.yamibuy.com/en/p/aishang-mimi-crab-flavored-chips-10-packs-180g/1017009671?scene=item_search.result&bu_type=search&module_name=input&index=16&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,aishang,Buy $150 get 1 free gift,132,$2.49,4 Options,Mimi Crab Flavored Chips 10 Packs 180g,132,China,4.6
Potato Chips Honey Butter 80g,https://www.yamibuy.com/en/p/calbee-potato-chips-honey-butter-80g/1017018051?scene=item_search.result&bu_type=search&module_name=input&index=17&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,Buy $150 get 1 free gift,,,,Potato Chips Honey Butter 80g,20,Japan,4.7
Sour Cream Onion Chips 47g,https://www.yamibuy.com/en/p/max-sour-cream-onion-chips-47g/1017044501?scene=item_search.result&bu_type=search&module_name=input&index=18&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,Buy $150 get 1 free gift,5,$1.99,,Sour Cream Onion Chips 47g,5,China,4.4
Potato Chips Sweet Basil Flavor 50g,https://www.yamibuy.com/en/p/potato-chips-sweet-basil-flavor-50g/1017037841?scene=item_search.result&bu_type=search&module_name=input&index=19&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,Buy $150 get 1 free gift,13,,,Potato Chips Sweet Basil Flavor 50g,13,China,4.4
MY POTE Potato Chips Himalayan Pink Salt 60g,https://www.yamibuy.com/en/p/my-pote-potato-chips-himalayan-pink-salt-60g/1017037541?scene=item_search.result&bu_type=search&module_name=input&index=20&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,Buy 3 get 1 free gift,42,$1.49,,MY POTE Potato Chips Himalayan Pink Salt 60g,42,Japan,4.4
