Title,Title_link,Thumbnail,brand-title,comment-star__count,brand-variants,Price,price-valid,price-invalid,price-discount,Headline,DetailPrice,OriginalPrice,Live chat,Field1
GGE Seaweed Cracker 80g,https://www.yamibuy.com/en/p/weilih-good-good-eat-seaweed-cracker-80g-random-delivery-of-2-packaging/1017000251,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILIH,191,9 Options,,$1.69,$1.79,6% OFF,GGE Seaweed Cracker 80g,$1.69,$1.79,Contact Us,Taiwan
Rich Milk Tea 330ml,https://www.yamibuy.com/en/p/rich-milk-tea-330ml-x-24pcs/1020038961,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUANG QUAN,224,2 Options,$1.89,,,,Rich Milk Tea 330ml,,,Contact Us,Taiwan
Sugar Free Oolong Tea 500ml,https://www.yamibuy.com/en/p/yuanqisenlin-alcohol-tea-500ml/1020019211,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Genki Forest,219,4 Options,$2.29,,,,Sugar Free Oolong Tea 500ml,,,Contact Us,China
Meltyblend Chocolate Premium Cacao 60g,https://www.yamibuy.com/en/p/meiji-meltyblend-chocolate-premium-cacao-60g/1018004661,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MEIJI,129,,$3.99,,,,Meltyblend Chocolate Premium Cacao 60g,,,Contact Us,Japan
Caramel Flavored Bread 75g,https://www.yamibuy.com/en/p/caramel-flavored-bread-75g/1016085491,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,D-PLUS,29,,,$1.59,$2.29,31% OFF,Caramel Flavored Bread 75g,$1.59,$2.29,Contact Us,Japan
VITA Less Sugar Chrysanthemum Tea 250ml,https://www.yamibuy.com/en/p/vita-less-sugar-chrysanthemum-tea-250ml/1020004691,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,VITASOY,155,4 Options,$0.79,,,,VITA Less Sugar Chrysanthemum Tea 250ml,,,Contact Us,Hong Kong
"Potato Chips Cucumber Flavor, 70g",https://www.yamibuy.com/en/p/lay-s-potato-chips-cucumber-flavor-70g/1017014081,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,404,7 Options,,$2.29,$2.49,9% OFF,"Potato Chips Cucumber Flavor, 70g",$2.29,$2.49,Contact Us,China
Mango Flavor Drink 500ml,https://www.yamibuy.com/en/p/master-kong-mango-flavor-drink-500ml/1020008801,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MASTER KONG,64,,$1.49,,,,Mango Flavor Drink 500ml,,,Contact Us,China
Chocolate Flavored Soy Drink 250ml,https://www.yamibuy.com/en/p/vitasoy-chocolate-flavored-soy-drink-250ml/1020002461,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,VITASOY,236,7 Options,$0.79,,,,Chocolate Flavored Soy Drink 250ml,,,Contact Us,Hong Kong
Melon Flavored Soy Drink 250ml,https://www.yamibuy.com/en/p/vitasoy-melon-flavored-soy-drink-250ml/1020002811,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,VITASOY,182,7 Options,$0.89,,,,Melon Flavored Soy Drink 250ml,,,Contact Us,Hong Kong
Honey Citron Tea 1kg,https://www.yamibuy.com/en/p/nh-honey-citron-tea1kg/1020029681,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NH,93,,$6.49,,,,Honey Citron Tea 1kg,,,Contact Us,Korea
Black Tea 300ml,https://www.yamibuy.com/en/p/uni-president-black-tea-300ml/1020044461,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Unif,36,,$1.49,,,,Black Tea 300ml,,,Contact Us,Taiwan
