Product_Name,Brand,Reviews,Price,Option,Rate,Origin,Platform,Category
Sesame Cake 150g,YUMEI,664,3.39,No,4.5,Mainland China,Yami,Cake
Sesame Pan Cake 200g,NICE CHOICE,6,4.39,4 Options,4.7,Taiwan,Yami,Cake
Rice Cake Original Flavor 980g,MEI HUA SIANG,3,6.99,7 Options,4.7,Taiwan,Yami,Cake
Q Cake 5pcs 600g,SAINT PAUL,1,32.99,No,5.0,Taiwan,Yami,Cake
Flower-Shped Jujube Puff Cake 210g,Dao Xiang Cun,189,5.49,No,4.7,Mainland China,Yami,Cake
Brown Sugar Sachima Soft Flour Cake 505g,JINGYIZHEN,265,4.99,No,4.8,Mainland China,Yami,Cake
Pineapple Fortune Cake 3pcs,SunnyHills,4,22.99,No,4.8,Taiwan,Yami,Cake
Wang Lai Cake New Year Gift Box 414g,SunnyHills,1,64.99,No,5.0,Taiwan,Yami,Cake
Rice Cake Red Bean Flavor 980g,MEI HUA SIANG,5,6.99,7 Options,4.6,Taiwan,Yami,Cake
Sun Cake 300g,SUN BOOTH,361,6.99,4 Options,4.6,Taiwan,Yami,Cake
Rice Cake Coconut Flavor 480g,MEI HUA SIANG,4,3.59,7 Options,4.8,Taiwan,Yami,Cake
Lava Cake Egg Yolk Flavor 220g,AJI,26,6.49,3 Options,4.9,Mainland China,Yami,Cake
Jujube Cake With Osmanthus 168g,YUMEI,536,3.49,No,4.7,Mainland China,Yami,Cake
Duen Tai Crystal Taro Cake 3/pk,Dunetai,7,13.99,No,4.9,Taiwan,Yami,Cake
Happiness Cake Gift Box 880g Style B,Dao Xiang Cun,5,26.99,No,5.0,Mainland China,Yami,Cake
DXC Nuts Cake 880g,Dao Xiang Cun,4,18.99,No,5.0,Mainland China,Yami,Cake
Pineapple Paste Cake 300g,LAM SHENG KEE,1,14.99,3 Options,4.0,Taiwan,Yami,Cake
Banh Pia Taro Durian Cake Yolk 4pc 400g,THIEN SA,74,9.69,3 Options,4.5,Vietnam,Yami,Cake
YZD Mini Cake Salted Egg Yolk Flavor 188g,AJI Taiwan,9,3.49,No,4.2,Taiwan,Yami,Cake
YZD Mini Cake Milk Flavor 188g,AJI Taiwan,4,3.49,No,4.5,Taiwan,Yami,Cake
Mung Bean Cake Osmanthus Flavor 190g,zhiweiguan,137,7.79,4 Options,4.7,Mainland China,Yami,Cake
Custard Cream Cake Family Size 12pc 276g,LOTTE Korea,137,7.89,2 Options,4.6,Korea,Yami,Cake
Pineapple Cake 45g*12,CHIA TE,4,39.99,No,5.0,Taiwan,Yami,Cake
Ball Cake Cookie 210g,WANT WANT,248,4.29,6 Options,4.9,Taiwan,Yami,Cake
【Frozen】Jujube And Pumpkin Rice Cake,HUANGFEIHONG,1,3.69,No,5.0,Mainland China,Yami,Cake
Taiwan Pineapple Cake 227g,NICE CHOICE,187,2.99,No,4.2,Taiwan,Yami,Cake
Rice Cake with Black Bean Sauce 128g,OTASTE,0,2.99,No,0.0,Korea,Yami,Cake
Date Medlar Flour Cake 12 pack in 270g,BESTORE,24,3.59,No,4.2,Mainland China,Yami,Cake
LAVA Cake Cheese Flavor 220g,AJI,29,6.49,3 Options,4.7,Mainland China,Yami,Cake
Rice Cake with Spicy Sauce 128g,OTASTE,0,2.99,No,0.0,Korea,Yami,Cake
Baolaifa Brown Sugar Rice Cake -Red Bean 550g,宝来发,1,21.99,No,5.0,Taiwan,Yami,Cake
Cup Rice Cake Jjajang 144g,WELLHEIM,7,2.49,No,4.6,Korea,Yami,Cake
Pineapple Cake 227g,NICE CHOICE,1,1.99,No,5.0,Taiwan,Yami,Cake
Sandwich Cake Matcha Flavor 90g,Moranca,56,3.99,No,4.5,Mainland China,Yami,Cake
Longjin Mung Bean Cake150g,zhiweiguan,101,6.99,2 Options,4.8,Mainland China,Yami,Cake
CNY rice Cake Red Bean 480g,MEI HUA SIANG,11,3.59,7 Options,4.8,Taiwan,Yami,Cake
Longjing Green Tea Osmanthus Cake 190g,zhiweiguan,72,8.49,No,4.7,Mainland China,Yami,Cake
JoyJoy Golden Cake Gift Set 240g,JoyJoy,3,38.99,No,4.7,Taiwan,Yami,Cake
Dorayaki Baked Red Bean Cake 5pc,SHIRAKIKU,49,3.99,3 Options,4.7,Japan,Yami,Cake
Pineapple Cake 16 Pieces 500g,SunnyHills,2,59.99,No,5.0,Taiwan,Yami,Cake
Mung Bean Cake Matcha Flavor 190g,zhiweiguan,83,7.79,4 Options,4.7,Mainland China,Yami,Cake
Mung Bean Cake Original Flavor 190g,zhiweiguan,126,7.79,4 Options,4.7,Mainland China,Yami,Cake
Baked Red Bean Cake Green Tea 6packs 310g,WANGJING,176,6.99,4 Options,4.6,Japan,Yami,Cake
Macaron Cake Matcha Flavor 126g,JINSIBO,0,4.69,No,0.0,Mainland China,Yami,Cake
【Frozen】Sweet-Scented Osmanthus Rice Cake,QWYC,0,3.49,No,0.0,Mainland China,Yami,Cake
Rice Cake Original 500g,LIUFU,5,3.99,No,5.0,Mainland China,Yami,Cake
Black Sesame Cake 170g,NICE CHOICE,31,4.19,No,4.7,Taiwan,Yami,Cake
Pineapple Cake 184g,ROYAL FAMILY,22,2.79,4 Options,4.4,Taiwan,Yami,Cake
Rice Cake 400g,MARUHO,124,5.79,No,4.8,Japan,Yami,Cake
Durian Cake 300g,Maoshanwang,105,3.99,No,4.8,Mainland China,Yami,Cake
Mango Cake 300g,LAM SHENG KEE,1,14.99,3 Options,5.0,Taiwan,Yami,Cake
"Rice Cake Original Flavor Low Sugar, 500g",LIUFU,9,3.99,No,4.4,Mainland China,Yami,Cake
Rice Cake Red Bean Flavor 500g,LIUFU,7,3.99,No,4.7,Mainland China,Yami,Cake
"Rice Cake Original Flavor Low Sugar, 500g",LIUFU,9,3.99,No,4.4,Mainland China,Yami,Cake
Green Bean Mochi Cake 300g,ROYAL FAMILY,165,6.29,No,4.5,Taiwan,Yami,Cake
Sugar Free Pineapple Cake 276g,ROYAL FAMILY,122,6.99,No,4.6,Taiwan,Yami,Cake
Original Rice Cake Cookie 12pc 258g,CW,140,5.29,No,4.3,Korea,Yami,Cake
Happiness Cake Gift Box 880g,Dao Xiang Cun,4,28.99,No,5.0,Mainland China,Yami,Cake
Custard Soft Cup Cake Cream and Egg Yolk Pie 12Packs  276g,ORION,224,4.89,No,4.7,Korea,Yami,Cake
Ball Cake Original 60g,WANT WANT,58,1.99,No,4.9,Taiwan,Yami,Cake
Custard Cream Cake 500g,DALIGROUP,13,5.99,2 Options,4.5,Mainland China,Yami,Cake
Pineapple Cake 500g,SunnyHills,11,39.99,3 Options,5.0,Taiwan,Yami,Cake
TECHANG FOOD Tofu Cake Black Peeper Flavor 115g,TE CHANG FOOD,38,1.69,No,4.2,Taiwan,Yami,Cake
Macaron Cake Original,JINYU,1,3.49,No,5.0,Mainland China,Yami,Cake
Walnut Rice Cake 198g,Shendacheng,2,11.90,No,5.0,Mainland China,Yami,Cake
Hong Kong Style Flavored Sadish Cake Powder 500g,JAGUAR,4,6.09,No,5.0,Taiwan,Yami,Cake
Hot Kid Ball Cake Original 320g,WANT WANT,9,5.49,No,4.9,Taiwan,Yami,Cake
New York Cheese Cake 170g,CROWN,33,4.99,No,4.0,Korea,Yami,Cake
Chestnut Rice Cake Cookie 12pc 258g,CW,30,5.29,No,3.9,Korea,Yami,Cake
Waffle Cake Yogurt Flavor 270g,HAOYOULIKids,9,4.99,No,4.7,Mainland China,Yami,Cake
DXC Soft Flour Cake Original Flavor 454g,Dao Xiang Cun,56,7.49,3 Options,4.4,Mainland China,Yami,Cake
Malaysia Asteros Roll Heart Cake Tiramisu Flavor 40g,O-mac,28,0.99,3 Options,4.4,Malaysia,Yami,Cake
Korean Rice Cake Apple Flavored Cookie Pie 12pcs 234g,CW,27,5.29,No,4.6,Korea,Yami,Cake
